sentence,context_before,context_after,section,thesis_code
"10. Conclusions The primary aim of the present study was to describe the diachronic evolution of a textual genre used in museum settings – exhibition press announcements (EPAs) – from 1950 to 2009, i.e. from earlier instances to present uses.",,"Two questions in particular were under scrutiny: the evolution – or maybe we should say the survival – of the genre in view of the advent of new public relations practices already adopted by museums, such as social media, community relations and web communication, and the origin and reasons of its strong promotional features, which have only been investigated from a synchronic perspective so far (Lazzeretti 2010; Lazzeretti/Bondi 2012). The study is based on a corpus of 378 EPAs, the EPA Diacorpus, comprising almost 300,000 words, issued by American and British high-profile museums: the London National Gallery, the London Victoria&Albert Museum, the London Royal Academy of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York",conclusion,conclusion_2
"Two questions in particular were under scrutiny: the evolution – or maybe we should say the survival – of the genre in view of the advent of new public relations practices already adopted by museums, such as social media, community relations and web communication, and the origin and reasons of its strong promotional features, which have only been investigated from a synchronic perspective so far (Lazzeretti 2010; Lazzeretti/Bondi 2012).","10. Conclusions The primary aim of the present study was to describe the diachronic evolution of a textual genre used in museum settings – exhibition press announcements (EPAs) – from 1950 to 2009, i.e. from earlier instances to present uses.","The study is based on a corpus of 378 EPAs, the EPA Diacorpus, comprising almost 300,000 words, issued by American and British high-profile museums: the London National Gallery, the London Victoria&Albert Museum, the London Royal Academy of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York Frick Collection and the Chicago Museum of Contemporary Art. To make a systematic diachronic study possible, EPAs were chosen to represent periods at ten-year intervals. The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary.",conclusion,conclusion_2
"The study is based on a corpus of 378 EPAs, the EPA Diacorpus, comprising almost 300,000 words, issued by American and British high-profile museums: the London National Gallery, the London Victoria&Albert Museum, the London Royal Academy of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York Frick Collection and the Chicago Museum of Contemporary Art.","10. Conclusions The primary aim of the present study was to describe the diachronic evolution of a textual genre used in museum settings – exhibition press announcements (EPAs) – from 1950 to 2009, i.e. from earlier instances to present uses. Two questions in particular were under scrutiny: the evolution – or maybe we should say the survival – of the genre in view of the advent of new public relations practices already adopted by museums, such as social media, community relations and web communication, and the origin and reasons of its strong promotional features, which have only been investigated from a synchronic perspective so far (Lazzeretti 2010; Lazzeretti/Bondi 2012).","To make a systematic diachronic study possible, EPAs were chosen to represent periods at ten-year intervals. The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary. Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal. After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were",conclusion,conclusion_2
"To make a systematic diachronic study possible, EPAs were chosen to represent periods at ten-year intervals.","– or 2 we should say the survival – of the genre in view of the advent of new public relations practices already adopted by museums, such as social media, community relations and web communication, and the origin and reasons of its strong promotional features, which have only been investigated from a synchronic perspective so far (Lazzeretti 2010; Lazzeretti/Bondi 2012). The study is based on a corpus of 378 EPAs, the EPA Diacorpus, comprising almost 300,000 words, issued by American and British high-profile museums: the London National Gallery, the London Victoria&Albert Museum, the London Royal Academy of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York Frick Collection and the Chicago Museum of Contemporary Art.","The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary. Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal. After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7. In chapters 8 and 9 the main analysis was carried out",conclusion,conclusion_2
"The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary.","new public relations practices already adopted by museums, such as social media, community relations and web communication, and the origin and reasons of its strong promotional features, which have only been investigated from a synchronic perspective so far (Lazzeretti 2010; Lazzeretti/Bondi 2012). The study is based on a corpus of 378 EPAs, the EPA Diacorpus, comprising almost 300,000 words, issued by American and British high-profile museums: the London National Gallery, the London Victoria&Albert Museum, the London Royal Academy of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York Frick Collection and the Chicago Museum of Contemporary Art. To make a systematic diachronic study possible, EPAs were chosen to represent periods at ten-year intervals.","Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal. After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7. In chapters 8 and 9 the main analysis was carried out and the EPA Diacorpus was explored respectively with regard to the diachronic lexical and structural variation. In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided. 10.1 Synthesis of results of lexical analysis While",conclusion,conclusion_2
"Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal.","The study is based on a corpus of 378 EPAs, the EPA Diacorpus, comprising almost 300,000 words, issued by American and British high-profile museums: the London National Gallery, the London Victoria&Albert Museum, the London Royal Academy of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York Frick Collection and the Chicago Museum of Contemporary Art. To make a systematic diachronic study possible, EPAs were chosen to represent periods at ten-year intervals. The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary.","After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7. In chapters 8 and 9 the main analysis was carried out and the EPA Diacorpus was explored respectively with regard to the diachronic lexical and structural variation. In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided. 10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing",conclusion,conclusion_2
"After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7.","of Arts, the New York Museum of Modern Art, the New York Solomon R. Guggenheim Museum, the Los Angeles J. Paul Getty Museum, the New York Frick Collection and the Chicago Museum of Contemporary Art. To make a systematic diachronic study possible, EPAs were chosen to represent periods at ten-year intervals. The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary. Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal.","In chapters 8 and 9 the main analysis was carried out and the EPA Diacorpus was explored respectively with regard to the diachronic lexical and structural variation. In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided. 10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing (Duguid 2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR,",conclusion,conclusion_2
In chapters 8 and 9 the main analysis was carried out and the EPA Diacorpus was explored respectively with regard to the diachronic lexical and structural variation.,", EPAs were chosen to represent periods at ten-year intervals. The methods used combined a quantitative or statistical approach with a qualitative and analytical one: statistical tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary. Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal. After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7.","In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided. 10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing (Duguid 2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points). Also, an increasing urge for a conventional lexis can",conclusion,conclusion_2
In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided.,"tools were applied to compare the frequencies of the features chosen for investigation across decades, while, for an interpretation of the results arrived at, a qualitative perspective was necessary. Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal. After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7. In chapters 8 and 9 the main analysis was carried out and the EPA Diacorpus was explored respectively with regard to the diachronic lexical and structural variation.","10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing (Duguid 2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points). Also, an increasing urge for a conventional lexis can be stressed, quite a sort of technical jargon, which aims at making recognizable the genre of EPAs to its users. Ambiguous expressions",conclusion,conclusion_2
"10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing (Duguid 2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points).","at, a qualitative perspective was necessary. Moreover, a qualitative analysis was essential when looking at the evolution of the generic structure of EPAs over time and, in particular, at the use of narrative sections, quotations, linguistic means of evaluation and emotional appeal. After preparing the groundwork for the study, introducing the relevant methodologies – corpus linguistics, genre analysis and discourse analysis – in chapters 2 to 5, the design of the corpus and methods applied in the analysis were described in chapters 6 and 7. In chapters 8 and 9 the main analysis was carried out and the EPA Diacorpus was explored respectively with regard to the diachronic lexical and structural variation. In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided.","Also, an increasing urge for a conventional lexis can be stressed, quite a sort of technical jargon, which aims at making recognizable the genre of EPAs to its users. Ambiguous expressions, such as, for instance, the phrase one-man show or the verb form exhibited were gradually discarded by EPA writers, who later preferred more technical and ‘safe’ expressions such as retrospective and displayed or on display, while the phrase visual arts gradually replaced fine arts. In this respect, our analysis confirmed Renouf’s (2007b: 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity. Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a",conclusion,conclusion_2
