"thesis_code","section","sentence","expression_number","expression","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Below, Figure 1.1 visualises this:","1","Below","True","text","Points to a location within the document (where the figure appears), i.e., a text-internal reference.","MICRO","Guides the reader to the immediate location of the upcoming figure in the current local context.","Function is limited to a local locative pointer; it does not organize multiple propositions or sections.","MD","Reflexive to the text; removing it does not change propositional content but removes a navigational cue.","INT_ACTIVE","Organizational guidance for navigating the text, not stance or engagement.","Endophoric Marker","False","Prototypical internal pointer to a location within the text.","False","","","","False","","","","","","A locative deictic guiding the reader to where the figure appears; removing it preserves content but loses a navigational cue; function is interactive endophoric."
"AP1","Introduction","Below, Figure 1.1 visualises this:","2","Figure 1.1","True","text","Explicitly refers to an internal text element (Figure 1.1).","MICRO","References one specific textual element at this point in the discourse.","It designates a single text element rather than organizing multiple propositions or sections.","MD","Text-reflexive; removing the label affects navigation, not world-referential content.","INT_ACTIVE","Organizes reference to a text-internal element, not stance.","Endophoric Marker","False","Canonical reference to an internal figure.","False","","","","False","","","","","","Explicit figure label referencing a text element; predicate content is operand; purely organizational endophoric function."
"AP1","Introduction","Below, Figure 1.1 visualises this:","3","this","True","text","Anaphorically refers to prior discourse content (the genre–subgenre relation just discussed).","MESO","Links the current clause/figure to a prior stretch of discourse (the immediately preceding discussion of genre and sub-genres).","Its function is cohesive linkage across propositions, connecting the new visual to earlier discourse.","MD","Reflexive to the text; removing it preserves content but removes a cohesion device linking to prior discourse.","INT_ACTIVE","Serves organizational/cohesive purposes rather than stance.","Endophoric Marker","False","Backward-pointing anaphoric device referencing earlier text.","False","","","","False","","","","","","'This' cohesively ties the figure to earlier content; removing it does not alter propositional content but weakens inter-sentential linkage; endophoric organizational function."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","1","Finally","True","act","Indexes the discourse act of sequencing, marking this move as the final item in an ongoing enumeration.","MESO","Concludes the multi-sentence enumerative overview in the Introduction.","It organizes a local sequence spanning several propositions within the Introduction, not the whole document.","MD","Discourse-act reflexivity; removal leaves propositional content intact but disrupts discourse organization.","INT_ACTIVE","Guides textual organization by signaling position in a sequence.","Frame Marker","False","Prototypical sequencing marker signaling the final stage in an enumeration.","False","","","","False","","","","","","‘Finally’ is a discourse-act reflexive sequencing cue organizing the local enumerative move (meso scope), realized as an interactive frame marker."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","2","the structure of the overall thesis will be explained","True","text","Explicitly refers to the text (‘the overall thesis’) and announces a discourse act (‘will be explained’), i.e., text- and act-reflexive with text-reference primary.","MACRO","Previews the organization of the entire thesis.","In an Introduction, announcing the thesis structure frames reader expectations for the whole document.","MD","Wholly reflexive (about the text and an upcoming discourse act); no proposition about the external world.","INT_ACTIVE","Organizes and previews global document structure.","Frame Marker","True","PRIMARY: Frame Marker (macro-level structuring). SECONDARY: Endophoric Marker (forward-pointing to the upcoming explanation).","False","","","","True","Frame Marker","Endophoric Marker","","PRIMARY strongly dominant; SECONDARY moderate","Announces global structure (framing) while also pointing forward to forthcoming explanation.","Clause is wholly metadiscursive, macro-scoping the thesis by previewing its structure; it functions as an interactive frame marker with secondary endophoric pointing."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Further","False","","Signals an additive relation between the current and prior discourse segments; does not directly refer to text, act, reader, or author.","MESO","Links the current sentence presenting Hasan’s view to the preceding discussion of context and language.","Transition markers guide relations between adjacent discourse units, reaching beyond a single clause but not organizing an entire section.","MD","Organizes discourse by marking additive linkage; content remains unchanged if removed.","INT_ACTIVE","Guides readers through text organization rather than expressing stance.","Transition","False","Canonical additive transition signaling continuation of the argument.","False","","","","False","","","","","","‘Further’ organizes the flow by adding Hasan’s claim to the prior discussion; removal affects coherence, not content."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","Hasan (2001: 8) maintains","False","","Attributes the subsequent proposition to an external source; not self-referential to text, act, author, or reader.","MICRO","Frames only the immediately following proposition as Hasan’s claim.","Evidential attribution affects the status of a single proposition rather than relations across multiple discourse units.","MD","Manages intertextuality and information source without adding propositional content.","INT_ACTIVE","Organizes the text by signaling source and evidential framing rather than interpersonal stance.","Evidential","False","Canonical citation + reporting verb marking the source of the upcoming proposition.","False","","","","False","","","","","","‘Hasan … maintains’ attributes the subsequent claim, changing only its source status; the ‘that’-clause is operand, not part of the MD operator."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","first","True","text","Indexes the internal structure of the text by staging the first item of an enumeration.","MESO","Structures the two-item enumeration (‘first … and then …’) within the current complex clause.","Enumerative frame markers organize multiple units within the local segment, extending beyond a single proposition but not section-wide.","MD","Purely organizational, guiding the reader through an internal sequence; no propositional content added.","INT_ACTIVE","Frames and sequences information structure rather than expressing stance.","Frame Marker","False","Signals staging of an enumerated list (first … then …), a canonical frame-marking function.","False","","","","False","","","","","","‘first’ reflexively signals the start of a two-item sequence, organizing local information without changing propositional content."
"AP1","Introduction","Halliday (2009:56) explains that language provides the means by which we act as well as reflect on the environment.","1","Halliday (2009:56) explains","False","","References an external source (Halliday) to attribute the following claim; does not refer to the current text, discourse act, reader, or author.","MICRO","Attributes only the immediately following proposition in the that-complement to Halliday.","The evidential function organizes attribution solely for the following clause; it does not structure larger sections or multiple propositions.","MD","Removal leaves content intact while eliminating source attribution; thus the function is discourse-organizational rather than propositional.","INT_ACTIVE","Guides readers by organizing intertextual sourcing, not by expressing stance or engagement.","Evidential","False","Prototypical evidential: cites an external source with a reporting verb to attribute the subsequent proposition.","False","","","","False","","","","","","Correct span is the reporting clause 'Halliday (2009:56) explains' (R2 stop before that-clause). It attributes only the next proposition, so scope is MICRO. As an Interactive Evidential, it organizes intertextual sourcing without adding propositional content."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Hasan (2001: 8) maintains","False","","Refers to an external source (Hasan), not to the text, discourse act, reader, or author.","MICRO","Attributes the immediately following proposition about the two roles of context to Hasan.","Per stopping Rule 2, the that-clause is the propositional operand; the evidential operator is the reporting frame up to (but not including) 'that'.","MD","Removal test shows organizational/intertextual function only; it does not add propositional content.","INT_ACTIVE","Guides readers through source relations and organizes intertextual grounding, not stance-taking.","Evidential","False","Canonical attribution structure (source + reporting verb) marking the provenance of the claim.","False","","","","False","","","","","","Sentence-initial reporting frame organizes intertextual attribution for one proposition (micro). Non-reflexive MD; Interactive Evidential per Hyland."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","first","False","","Signals local sequencing of information; does not refer to text/act/participants.","MICRO","Orders the first of two items within the same proposition attributed to Hasan.","Per R1 (content specification), do not include the following content phrase; only the sequencer is MD.","MD","Purely organizational; no propositional content added.","INT_ACTIVE","Structures the flow of information for the reader.","Frame Marker","False","Signals sequence/staging of information, a core frame-marking function.","False","","","","False","","","","","","'First' sequences the initial item of a two-part list within one proposition; Interactive frame marker at micro scope."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","then","False","","Signals progression to the next item; not self-referential.","MICRO","Marks the second element in the two-item sequence within the same proposition.","Per R1 (content specification), only the sequencer is MD; the following content is operand.","MD","Organizational guidance only; no propositional contribution.","INT_ACTIVE","Guides the reader through the sequence of listed items.","Frame Marker","False","Functions as a stage/sequence marker continuing the list begun by 'first'.","False","","","","False","","","","","","'Then' continues the sequence, marking the second item; Interactive frame marker at micro scope."
"AP1","Introduction","It is possible to establish a sub-genre within the Radio Address.","1","It is possible","False","","It evaluates the epistemic status of the following proposition, without referring to the text, discourse act, reader, or author.","MICRO","Modulates the certainty of the immediate proposition about establishing a sub-genre only.","Its functional reach is limited to the single proposition it precedes; it does not organize larger segments.","MD","It does not add propositional content; it marks the writer's stance toward the proposition (removal test preserves content but changes commitment).","INT_ACTIONAL","Expresses epistemic stance and modulates commitment rather than organizing text structure.","Hedge","False","Prototypical hedge via epistemic adjective 'possible' in an impersonal construction indicating uncertainty/possibility.","False","","","","False","","","","","","Impersonal epistemic construction marking possibility; micro-scope hedge affecting only the immediate proposition. Removal preserves content but reduces caution, confirming MD → Interactional → Hedge."
"AP1","Introduction","Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.","1","Next,","False","","'Next' signals discourse sequencing but does not explicitly refer to the text, a discourse act, or participants; it organizes without self-reference.","MACRO","Signals the next major stage in the Introduction's roadmap (part of a multi-step outline: first/secondly/next/fourth/finally).","Functions as a stage marker in a chapter-level outline, connecting major sections rather than local propositions.","MD","Removal preserves propositional meaning; function is purely organizational, guiding the reader through discourse structure.","INT_ACTIVE","Organizes and guides text structure (not stance or engagement).","Frame Marker","False","In an outline sequence, 'Next' announces a discourse stage; this is prototypical Frame Marker use rather than a local Transition.","False","","","","False","","","","","","‘Next,’ is a sentence-initial sequencing adverb that marks the next stage of the chapter outline. It contributes no propositional content, guides macro-organization (interactive MD), and functions as a Frame Marker in a conventional Introduction roadmap."
