"thesis_code","section","sentence","expression_number","expression","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Below, Figure 1.1 visualises this:","1","Below","True","text","Points to a location within the current text layout (the material immediately below).","MICRO","Directs attention to the immediately following figure location.","Its functional reach is local navigation to the next element, not larger discourse organization.","MD","Text-reflexive deictic; removal leaves propositional content intact but navigation lost.","INT_ACTIVE","Guides reader through the text’s internal organization (where to look).","Endophoric Marker","False","Prototypical internal pointing to a text location.","False","","","","False","","","","","","‘Below’ is a text-reflexive deictic guiding the reader to the immediately following figure (interactive Endophoric Marker, micro-scope)."
"AP1","Introduction","Below, Figure 1.1 visualises this:","2","Figure 1.1","True","text","Names an internal text element (Figure 1.1) within the document.","MICRO","References a single, immediately relevant figure in the local context.","It points to a specific text element rather than organizing broader segments.","MD","Text-reflexive reference; removing it preserves content but removes internal cross-reference.","INT_ACTIVE","Organizes the reader’s navigation to an internal resource.","Endophoric Marker","False","Canonical internal cross-reference to a labeled figure.","False","","","","False","","","","","","‘Figure 1.1’ is a text-internal cross-reference that guides to a specific figure (interactive Endophoric Marker, micro-scope)."
"AP1","Introduction","Below, Figure 1.1 visualises this:","3","this","True","text","Anaphorically refers to preceding discourse content within the same text.","MESO","Links back to the immediately preceding discussion (the content the figure will depict), spanning prior sentences.","The pointer reaches beyond the clause to a prior segment, creating inter-sentential cohesion.","MD","Text-reflexive anaphora; removal leaves the proposition but weakens discourse linkage.","INT_ACTIVE","Provides cohesive linkage between segments (organizational guidance).","Endophoric Marker","False","Back-reference to earlier text content is a standard endophoric function.","False","","","","False","","","","","","‘this’ endophorically links the figure to the preceding segment, organizing cohesion across sentences (interactive Endophoric Marker, meso-scope)."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","1","Finally","True","act","Refers to the discourse act of sequencing by signaling the last item in an ongoing enumeration.","MESO","Closes a multi-sentence enumeration within the introductory overview.","It organizes the local sequence of items in the overview (segment-level), not the entire thesis.","MD","Discourse-act reflexive; removing it leaves the proposition intact but removes organizational guidance.","INT_ACTIVE","Guides textual organization by marking the final step in a sequence.","Frame Marker","False","Prototypical sequencing frame marker signaling the final element.","False","","","","False","","","","","","‘Finally’ reflexively signals the last step of an ongoing list, organizing several related propositions in the introductory overview (MESO). As an interactive frame marker, it guides readers through the sequence without adding content."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","2","the structure of the overall thesis will be explained","True","text","Explicitly refers to the text itself (overall thesis structure); the predicate also enacts a forward-looking discourse act (plan to explain).","MACRO","Announces and frames the organization of the entire thesis.","In the Introduction, this functions as a roadmap for the whole document (macro-level organization).","MD","Strong text-reflexivity (the thesis itself) and forward-looking organizational act; content remains about discourse organization.","INT_ACTIVE","Organizes reader navigation by previewing the document’s structure.","Frame Marker","False","A conventional roadmap/preview move announcing structural organization.","False","","","","False","","","","","","The full clause is metadiscursive: it references the thesis as text and previews the upcoming discourse act, serving as a macro-level roadmap. As an interactive frame marker, it organizes comprehension of the document’s structure."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Further","False","","Signals an additive relation between discourse segments; does not refer to text, act, author, or reader.","MESO","Links this sentence to the preceding discussion of context’s role; connects adjacent propositions across a sentence boundary.","Functions as a transition connecting this citation to prior claims; affects inter-sentential organization, not entire section.","MD","Guides how the current proposition relates to prior discourse without adding content.","INT_ACTIVE","Organizes discourse flow and relations between segments.","Transition","False","Additive transition marking another point in the line of argument.","False","","","","False","","","","","","‘Further’ is a sentence-initial additive transition linking this claim to prior discourse; removal preserves content but weakens coherence."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","Hasan (2001: 8) maintains that","False","","Attributes a claim to an external source; does not self-reference the current text/act/participants.","MICRO","Frames only the immediately following proposition as externally sourced (Hasan’s view).","Evidential reporting frames a single proposition; including the source and ‘that’ completes the operator while excluding the propositional complement.","MD","Does not add propositional content; manages intertextual sourcing of the claim.","INT_ACTIVE","Organizes information flow via source attribution.","Evidential","False","Canonical reporting frame with citation and ‘that’-complementizer.","False","","","","False","","","","","","‘Hasan (2001: 8) maintains that’ is a complete evidential operator attributing the subsequent proposition; removal preserves content but removes sourcing."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","first","True","text","Indexes the internal enumeration (‘two ways’) and signals text-internal ordering.","MICRO","Orders the two items within the current sentence (‘first … then …’).","Sequencer organizes a local list within the proposition; does not extend beyond the sentence-level enumeration.","MD","Frames the internal structure of the text rather than adding content.","INT_ACTIVE","Guides readers through the structure of the list.","Frame Marker","False","Sequencing/ordering is a canonical frame-marking function.","False","","","","False","","","","","","‘first’ reflexively sequences the two ways within the sentence, pairing with ‘then’; removal leaves content but obscures ordering."
"AP1","Introduction","Halliday (2009:56) explains that language provides the means by which we act as well as reflect on the environment.","1","Halliday (2009:56) explains that","False","","Refers to an external source (Halliday), not to the current text, discourse act, or participants.","MICRO","Attributes only the immediately following proposition about language’s functions to Halliday.","The evidential reporting frame organizes attribution for a single claim; subsequent claims carry their own attributions (e.g., Hasan), confirming local scope.","MD","Removal test shows content remains while discourse-organizing attribution is lost; function is organizational, not propositional.","INT_ACTIVE","Guides readers by organizing intertextual sourcing and integrating cited voices into the discourse structure.","Evidential","False","Prototypical citation + reporting verb construction attributing a claim to an external authority.","False","","","","False","","","","","","The reporting frame ‘Halliday (2009:56) explains that’ is a micro-scope evidential. It organizes attribution for a single proposition; removing it preserves content but loses the source. It is non-reflexive and functions interactively to structure intertextual links."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Hasan (2001: 8) maintains that","False","","Source-oriented attribution to an external author, not a reference to the current text, discourse act, reader, or author.","MICRO","Attributes only the immediately following proposition about two ways context is important.","Functional reach is limited to this single reported claim; it does not structure larger sections.","MD","Removal test preserves propositional content while losing attribution; function is organizational/intertextual, not content-bearing.","INT_ACTIVE","Organizes source relations and integrates external knowledge rather than expressing stance toward the claim.","Evidentials","False","Reporting frame attributing a proposition to Hasan fits Hyland’s Evidentials.","False","","","","False","","","","","","Sentence-initial reporting frame with obligatory 'that' attributes the subsequent proposition to Hasan. Micro-scope evidential (Interactive) organizing source attribution; content unaffected by removal."
