"thesis_code","section","sentence","expression_number","expression_without_unit","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Below, Figure 1.1 visualises this:","1","Below","True","text","Points to the location of a text-internal element (the figure) within the document layout.","MICRO","Directs the reader to the immediate location of the following figure only.","Functional reach is limited to indicating where to look for the next element; it does not connect multiple propositions or sections.","MD","Text-reflexive guidance; content of the argument remains unaffected by removal.","INT_ACTIVE","Organizes navigation of the text rather than expressing stance.","Endophoric Marker","False","Points endophorically to a part of the text (its spatial location).","False","","","","False","","","","","","'Below' is text-reflexive navigation with micro reach and acts as an Interactive Endophoric Marker."
"AP1","Introduction","Below, Figure 1.1 visualises this:","2","Figure 1.1","True","text","Explicit reference to a specific text-internal object (the figure).","MICRO","Refers to a single, specific visual element.","Function is to identify one textual element, not to connect or structure a wider discourse segment.","MD","Text-reflexive reference; does not add external propositional content.","INT_ACTIVE","Guides textual navigation by labeling and pointing to an internal resource.","Endophoric Marker","False","Canonical internal cross-reference by figure label.","False","","","","False","","","","","","'Figure 1.1' is a text-internal label functioning as an Interactive Endophoric Marker with micro scope."
"AP1","Introduction","Below, Figure 1.1 visualises this:","3","this","True","text","Anaphorically refers to preceding discourse content (the genre–sub-genre relation just discussed).","MESO","'This' encapsulates the prior multi-propositional discussion (genre and its sub-genres) and ties it to the figure.","Functional reach spans multiple prior propositions, establishing an anaphoric bridge from the earlier segment to the figure.","MD","Creates text-internal cohesion; does not add external propositional content.","INT_ACTIVE","Organizes discourse by linking prior discussion to the figure.","Endophoric Marker","False","Anaphoric endophoric pointer to earlier text content.","False","","","","False","","","","","","'This' anaphorically links the prior multi-propositional discussion to the introduced figure, i.e., Interactive Endophoric Marker with meso scope."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","1","Finally","False","","Signals ordinal position in the discourse but does not explicitly refer to the text, a discourse act, or participants.","MESO","Marks the last item in an enumerative sequence within the Introduction’s roadmap.","Functional reach is the local sequence of previewed elements; scope determined by discourse function (list-closure), not position.","MD","Removal preserves propositional content but removes discourse-organization (list closure).","INT_ACTIVE","Guides readers through text organization (sequencing/closure).","Frame Marker","False","‘Finally’ functions as a sequencer marking a discourse stage; in Hyland’s taxonomy, sequencers are Frame Markers rather than Transitions.","False","","","","False","","","","","","‘Finally’ is a non-reflexive sequencing marker organizing the local introductory list (MESO), functioning as an Interactive Frame Marker."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","2","the structure of the overall thesis","True","text","Explicit reference to the text as object (‘the overall thesis’) makes it text-reflexive.","MACRO","Refers to the entire document (‘overall thesis’).","Reference is to the global text; by genre convention, such references scope across the entire document.","MD","Reflexivity is sufficient for metadiscourse.","INT_ACTIVE","Organizational reference to the document (text structure) guides readers’ navigation.","Endophoric Marker","False","Refers to the text itself as object; fits Hyland’s endophoric function (text-internal reference) at a global level.","False","","","","False","","","","","","Text-reflexive NP pointing to the whole document (MACRO), functioning interactively as an endophoric reference to the thesis."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","3","will be explained","True","act","Announces a discourse act to be performed in the text (explanation), i.e., discourse-act reflexivity.","MACRO","Previews an upcoming discourse stage that presents the document’s structure (global orientation).","Announces a text-organizing move affecting understanding of the thesis as a whole.","MD","Discourse-act reflexivity is sufficient for MD.","INT_ACTIVE","Guides readers by announcing an organizational step.","Frame Marker","False","Roadmapping/previewing the structure is a prototypical Frame Marker function in introductions.","False","","","","False","","","","","","Discourse-act reflex announcing a global organizational move (MACRO), functioning interactively as a Frame Marker."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Further","False","","Does not refer to the text, discourse act, or participants; signals an additive relation between discourse segments.","MESO","Links the current Hasan-based proposition to the preceding discussion within the local argumentative/literature segment.","Scope tests indicate it connects this sentence with the prior one(s) rather than structuring the whole section (not macro) or only a subclausal unit (not micro).","MD","Removal test shows content unaffected while discourse guidance (additive linkage) is lost.","INT_ACTIVE","Organizes relationships between propositions and guides readers through the flow.","Transitions","False","Canonical additive transition marking addition to prior point.","False","","","","False","","","","","","‘Further’ organizes the flow by adding to a prior point (meso scope), without altering propositional content; it is an Interactive Transition."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","Hasan (2001: 8) maintains that","False","","Attributes the upcoming proposition to an external source; not self-referential to this text/act.","MICRO","Constrained to the attributed proposition that follows the reporting frame.","Attribution scopes over a single proposition; it does not connect multiple propositions nor structure larger sections.","MD","Guides interpretation via source attribution without adding propositional content itself.","INT_ACTIVE","Manages intertextual organization by indicating evidential source.","Evidentials","False","Canonical evidential: citation + reporting verb marking source of information.","False","","","","False","","","","","","The reporting frame attributes the following claim to Hasan, organizing intertextual sourcing (micro scope) as an Interactive Evidential."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","first ... then","False","","Orders elements of the presentation; does not refer to the text or discourse act itself.","MICRO","Organizes the two listed ways within the same proposition/sentence.","Sequencer test: items are subparts within one claim, not separate propositions; thus micro.","MD","Controls presentation order without contributing new propositional content.","INT_ACTIVE","Guides readers through internal text structure (enumeration).","Frame Markers","False","Classic sequencing function within Hyland’s frame markers.","False","","","","False","","","","","","‘first … then’ sequences two parts of the same claim, organizing internal structure (micro scope) as Interactive Frame Markers."
"AP1","Introduction","Halliday (2009:56) explains that language provides the means by which we act as well as reflect on the environment.","1","Halliday (2009:56) explains that","False","","References an external source (Halliday) and his explanatory act, not the current text, discourse act, reader, or author.","MICRO","Locally attributes the following single proposition to Halliday, signaling its provenance.","Evidentials typically operate on the immediate proposition; removal test confirms local effect despite contributing to broader framework-building.","MD","Removal affects discourse organization (source attribution) without altering propositional content.","INT_ACTIVE","Organizes intertextual relations and guides the reader through the theoretical framework rather than expressing stance.","Evidential","False","Canonical evidential pattern: named source + year/page with a reporting verb attributing the claim.","False","","","","False","","","","","","Prototypical integrated reporting clause functioning as an evidential: non-reflexive, MICRO scope attribution of a single proposition, Interactive metadiscourse (Evidential) guiding intertextual provenance."
