"thesis_code","section","sentence","expression_number","expression","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Below, Figure 1.1 visualises this:","1","Below","True","text","Points to the location of the referenced element within the current text (the following figure).","MICRO","Directs attention to the immediately following figure only.","Functional reach is restricted to a single internal pointer, not multiple propositions or sections.","MD","Text-reflexive guidance; removal leaves content unchanged but navigation impaired.","INT_ACTIVE","Organizes reader navigation to a text-internal element.","Endophoric Marker","False","Spatial deixis used to refer to material in the text (below).","False","","","","False","","","","","","‘Below’ is a text-reflexive endophoric pointer with micro scope guiding readers to the immediately following figure."
"AP1","Introduction","Below, Figure 1.1 visualises this:","2","Figure 1.1","True","text","Explicit reference to a specific text-internal element (Figure 1.1).","MICRO","Identifies a single visual element in the text.","Only references one text component; does not organize multiple propositions.","MD","Text-reflexive cross-reference; content of the clause remains without it.","INT_ACTIVE","Guides navigation to a text element rather than expressing stance.","Endophoric Marker","False","Conventional figure citation functions as an internal cross-reference.","False","","","","False","","","","","","‘Figure 1.1’ is a text-reflexive, interactive endophoric label with micro scope referencing one internal element."
"AP1","Introduction","Below, Figure 1.1 visualises this:","3","this","True","text","Anaphoric reference to preceding discourse content (the genre→sub-genre relation just discussed).","MESO","Links the figure to the preceding multi-propositional discussion of genre and sub-genres.","Anaphoric ‘this’ targets a discourse segment (not only a single proposition).","MD","Text-reflexive anaphora building cohesion; removal leaves propositional core but weakens discourse linkage.","INT_ACTIVE","Organizes and links segments by tying the figure to preceding content.","Endophoric Marker","False","Demonstrative anaphora functioning as an internal cross-reference to earlier text.","False","","","","False","","","","","","‘this’ is a text-reflexive anaphoric endophoric marker linking the figure to the preceding discussion (meso scope)."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","1","Finally","False","","Signals ordinal position in the discourse sequence but does not explicitly refer to the text, a discourse act, or participants.","MESO","Marks the last item in a local multi-sentence enumeration within the Introduction.","Scope tests show organization across several adjacent propositions (the list), not entire sections; genre position alone does not make it macro.","MD","Removal preserves propositional content but loses organizational guidance (sequence closure).","INT_ACTIVE","Organizes discourse by sequencing items for the reader.","Frame Marker","False","Prototypical sequencing frame marker ('finally') indicating stage/closure in an ordered list.","False","","","","False","","","","","","‘Finally’ is a non-reflexive, interactive sequencing frame marker with meso scope, closing the local introductory list."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","2","the structure of the overall thesis","True","text","Explicitly refers to the thesis (the text) as object ('overall thesis').","MACRO","Refers to the organization of the entire thesis.","Text-reflexive NP anchors interpretation at document scale; functionally global.","MD","Reflexivity (text reference) is sufficient for MD.","INT_ACTIVE","Orients readers to the organization of the document.","Endophoric Marker","False","Text-internal reference to the document as entity fits endophoric guidance.","False","","","","False","","","","","","Text-reflexive NP pointing to the whole thesis; macro, interactive, functioning as an endophoric pointer within an outlining sentence."
"AP1","Introduction","Finally, the structure of the overall thesis will be explained.","3","will be explained","True","act","Announces a discourse act to be performed in the text (explaining).","MACRO","Sets up the forthcoming explanation of the thesis’s structure, organizing reader expectations for a global overview.","Discourse-act announcement organizes reading of a global outline; functional reach is text-wide.","MD","Discourse-act reflexivity is sufficient for MD.","INT_ACTIVE","Guides readers through upcoming organizational stage.","Frame Marker","False","Labels/announces the next discourse stage (structural explanation) in the roadmap.","False","","","","False","","","","","","Discourse-act announcement of an outlining stage; macro, interactive frame marker."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Further","False","","Signals an additive relation between adjacent discourse segments; does not refer to text, act, reader, or author.","MESO","Links the current Hasan-based claim to the immediately preceding discussion within the literature review unit.","Prototypical transition connecting two propositions/segments in the same local unit.","MD","Removing it leaves propositional content intact while guidance about how to relate segments is lost.","INT_ACTIVE","Organizes segment relations for the reader (addition), not stance/engagement.","Transition","False","Additive link across sentences; canonical transition use.","False","","","","False","","","","","","‘Further’ guides addition between the previous point and the present Hasan-based claim; content unchanged if removed, but coherence cue lost → MD-Interactive Transition with meso reach."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","Hasan (2001: 8) maintains that","False","","References an external source rather than the current text/act/participants.","MICRO","Attributes the ensuing proposition (‘context is important in two ways’) to an external source within this sentence.","Standard evidential function constraining/locating a single assertion intertextually.","MD","Guides intertextual sourcing without altering the propositional content of the claim.","INT_ACTIVE","Organizational guidance to the reader about origin of information (source orientation).","Evidential","False","Explicit source attribution with citation and reporting verb fits evidentials in Hyland’s taxonomy.","False","","","","False","","","","","","Reporting with citation organizes sourcing of the immediate claim, leaving content intact if removed → MD-Interactive Evidential with micro reach."
"AP1","Introduction","Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","first ... and then","False","","Orders parts of the message; no reference to text/act/participants.","MICRO","Orders the two enumerated ways within the same sentence.","Sequencing within a single proposition/list indicates micro reach.","MD","Organizes presentation order without adding propositional content.","INT_ACTIVE","Guides the internal structure of the current statement for the reader.","Frame Marker","False","Sequencers (‘first/then’) are canonical Frame Markers (sequencing) in Hyland’s taxonomy.","False","","","","False","","","","","","‘First … then’ sequences two listed ways within the sentence → MD-Interactive Frame Marker (sequencer) with micro reach."
"AP1","Introduction","Halliday (2009:56) explains that language provides the means by which we act as well as reflect on the environment.","1","Halliday (2009:56) explains that","False","","References an external source and prior scholarship; does not refer to the current text, author/reader, or discourse act.","MICRO","Attributes only the immediately following proposition to Halliday, creating a local intertextual link.","Evidential reporting clauses typically operate locally over the attributed proposition; removal test confirms content intact with loss of attribution.","MD","Guides interpretation by attributing the claim to a source; does not add propositional content about the world. Removal preserves content but removes discourse management (attribution).","INT_ACTIVE","Organizes discourse by managing intertextual relations and signalling the provenance of the claim, not author stance or engagement.","Evidentials","False","Canonical evidential pattern: author name + year/page with a reporting verb to attribute information to prior literature.","False","","","","False","","","","","","Sentence-initial integrated reporting clause attributes the following proposition to Halliday. Not reflexive; micro-scope effect limited to this claim. Metadiscourse (interactive) evidential organizing intertextual provenance."
