thesis_code,section,sentence,expression_number,expression,is_reflexive,reflexivity_type,scope_classification,L1_classification,L2_classification,L3_classification,L3_borderline,L1_borderline_is,L1_borderline_dominant,L1_borderline_secondary,L1_borderline_why,L2_borderline_is,L2_borderline_primary,L2_borderline_secondary,L2_borderline_tertiary,L2_borderline_strength,L2_borderline_why,comprehensive_justification
AP1,Introduction,"Below, Figure 1.1 visualises this:",1,Below,True,text,MICRO,MD,INT_ACTIVE,Endophoric Marker,False,False,"","","",False,"","","","","","‘Below’ is a text-reflexive deictic guiding the reader to the immediately following figure (interactive Endophoric Marker, micro-scope)."
AP1,Introduction,"Below, Figure 1.1 visualises this:",2,Figure 1.1,True,text,MICRO,MD,INT_ACTIVE,Endophoric Marker,False,False,"","","",False,"","","","","","‘Figure 1.1’ is a text-internal cross-reference that guides to a specific figure (interactive Endophoric Marker, micro-scope)."
AP1,Introduction,"Below, Figure 1.1 visualises this:",3,this,True,text,MESO,MD,INT_ACTIVE,Endophoric Marker,False,False,"","","",False,"","","","","","‘this’ endophorically links the figure to the preceding segment, organizing cohesion across sentences (interactive Endophoric Marker, meso-scope)."
AP1,Introduction,"Finally, the structure of the overall thesis will be explained.",1,Finally,True,act,MESO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","‘Finally’ reflexively signals the last step of an ongoing list, organizing several related propositions in the introductory overview (MESO). As an interactive frame marker, it guides readers through the sequence without adding content."
AP1,Introduction,"Finally, the structure of the overall thesis will be explained.",2,the structure of the overall thesis will be explained,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","The full clause is metadiscursive: it references the thesis as text and previews the upcoming discourse act, serving as a macro-level roadmap. As an interactive frame marker, it organizes comprehension of the document’s structure."
AP1,Introduction,"Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.",1,Further,True,"",MESO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","",‘Further’ is a sentence-initial additive transition linking this claim to prior discourse; removal preserves content but weakens coherence.
AP1,Introduction,"Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.",2,Hasan (2001: 8) maintains that,False,"",MICRO,MD,INT_ACTIVE,Evidential,False,False,"","","",False,"","","","","",‘Hasan (2001: 8) maintains that’ is a complete evidential operator attributing the subsequent proposition; removal preserves content but removes sourcing.
AP1,Introduction,"Further, Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.",3,first,True,text,MICRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","‘first’ reflexively sequences the two ways within the sentence, pairing with ‘then’; removal leaves content but obscures ordering."
AP1,Introduction,Halliday (2009:56) explains that language provides the means by which we act as well as reflect on the environment.,1,Halliday (2009:56) explains that,False,"",MICRO,MD,INT_ACTIVE,Evidential,False,False,"","","",False,"","","","","",The reporting frame ‘Halliday (2009:56) explains that’ is a micro-scope evidential. It organizes attribution for a single proposition; removing it preserves content but loses the source. It is non-reflexive and functions interactively to structure intertextual links.
AP1,Introduction,"Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.",1,Hasan (2001: 8) maintains that,False,"",MICRO,MD,INT_ACTIVE,Evidentials,False,False,"","","",False,"","","","","",Sentence-initial reporting frame with obligatory 'that' attributes the subsequent proposition to Hasan. Micro-scope evidential (Interactive) organizing source attribution; content unaffected by removal.
